name,red,green,blue,alpha,id
bathtub utensil,248,157,252,255,131
beam,63,7,14,255,132
bean bag chair,146,63,249,255,133
beanbag,185,8,32,255,134
beanbag chair,247,0,223,255,135
bed,234,252,199,255,136
bed base,91,29,248,255,137
bed cabinet,122,0,89,255,138
bed cabinet lamp,41,99,220,255,139
bed comforter,28,132,140,255,140
bed curtain,127,209,111,255,141
bed light,110,54,79,255,142
bed sheet,63,68,107,255,143
bed small,214,0,171,255,144
bed stand,71,9,82,255,145
bed table,224,187,57,255,146
bedding,253,20,130,255,147
bedframe,127,127,0,255,148
bedpost,113,132,132,255,149
bedroom ceiling,255,0,127,255,150
bedroom table,0,255,200,255,151
bedside cabinet,100,150,255,255,152
bedside cabinet door,255,200,50,255,153
bedside cabinet drawer,50,255,100,255,154
bedside lamp,200,100,255,255,155
bedside table,255,100,200,255,156
beer crate,100,200,50,255,157
bell,200,50,100,255,158
belt,50,100,200,255,159
bench,255,150,100,255,160
beverage dispenser,100,255,150,255,161
bicycle,150,100,255,255,162
bicycle helmet,255,100,150,255,163
bicycle helmets,100,150,200,255,164
bidet,200,255,100,255,165
billiard balls,150,200,255,255,166
billiard cues,255,200,150,255,167
bin,200,150,100,255,168
binder,100,200,150,255,169
binders,220,120,180,255,170
birdhouse,180,220,120,255,171
blackboard,120,180,220,255,172
blanket,240,100,80,255,173
blanket basket,80,240,100,255,174
blankets,100,80,240,255,175
blinds,250,180,120,255,176
blouse,120,250,180,255,177
board,180,120,250,255,178
board game,200,80,120,255,179
board games,120,200,80,255,180
board with keys,80,120,200,255,181
boards,230,140,90,255,182
boat model,90,230,140,255,183
boiler,140,90,230,255,184
bonsai tree,210,160,110,255,185
book,110,210,160,255,186
book cabinet,160,110,210,255,187
book display,240,160,100,255,188
book rack,100,240,160,255,189
bookshelf,160,100,240,255,190
bookstand,200,120,160,255,191
boots,160,200,120,255,192
bottle,120,160,200,255,193
bottle dispenser,235,150,75,255,194
bottle of detergent,75,235,150,255,195
bottle of soap,150,75,235,255,196
bottle of wine,210,100,140,255,197
bottle opener,140,210,100,255,198
bottles,100,140,210,255,199
bottles of water,245,170,95,255,200
bottles of wine,95,245,170,255,201
bottom of stairs,170,95,245,255,202
bouquet,220,110,165,255,203
bowl,165,220,110,255,204
bowl of fruit,110,165,220,255,205
bowl of fruits,250,190,130,255,206
bowl of sweets,130,250,190,255,207
bowl with sweets,190,130,250,255,208
bowls,230,125,175,255,209
box,175,230,125,255,210
box of food,125,175,230,255,211
box of fruit,215,135,85,255,212
box of paper,85,215,135,255,213
box of something,135,85,215,255,214
box of tissue,240,145,105,255,215
box of tissues,105,240,145,255,216
box pen,145,105,240,255,217
box with books,225,155,95,255,218
box with jewelry,95,225,155,255,219
box with photos,155,95,225,255,220
box with shoes,210,170,120,255,221
box with tea,120,210,170,255,222
box with toys,170,120,210,255,223
boxes,235,105,155,255,224
boxes with books,155,235,105,255,225
boxing ring,105,155,235,255,226
bread,220,145,85,255,227
bread bin,85,220,145,255,228
bread box,145,85,220,255,229
breadbox,245,125,165,255,230
bricks,165,245,125,255,231
bridge,125,165,245,255,232
briefcase,215,175,105,255,233
brochure,105,215,175,255,234
brochures,175,105,215,255,235
broom,230,90,140,255,236
broomstick,140,230,90,255,237
brush,90,140,230,255,238
brushes,240,135,195,255,239
bucket,195,240,135,255,240
buckets,135,195,240,255,241
bulletin board,225,165,75,255,242
bunk bed,75,225,165,255,243
bureau,165,75,225,255,244
bust,210,115,155,255,245
button,155,210,115,255,246
cabinet,115,155,210,255,247
cabinet /otherroom,235,180,110,255,248
cabinet /w clutter,110,235,180,255,249
cabinet /w cluttered art,180,110,235,255,250
cabinet clutter,220,95,165,255,251
cabinet counter,165,220,95,255,252
cabinet door,95,165,220,255,253
cabinet drawer,245,100,175,255,254
cabinet kitchen,175,245,100,255,255
cabinet table,100,175,245,255,256
cable,215,150,130,255,257
cables,130,215,150,255,258
cage,150,130,215,255,259
calculator,230,120,185,255,260
calendar,185,230,120,255,261
camera,120,185,230,255,262
camping chair,240,160,90,255,263
can,90,240,160,255,264
can of paint,160,90,240,255,265
canal,225,105,150,255,266
candelabra,150,225,105,255,267
candle,105,150,225,255,268
candle holder,235,175,95,255,269
candle stand,95,235,175,255,270
candlestick,175,95,235,255,271
canister,215,140,170,255,272
canopy,170,215,140,255,273
cans,140,170,215,255,274
cans of paint,245,115,140,255,275
canvas,140,245,115,255,276
cap,115,140,245,255,277
car,220,165,105,255,278
car model,105,220,165,255,279
card,165,105,220,255,280
cardboard,230,75,165,255,281
cardboard box,165,230,75,255,282
carpet,75,165,230,255,283
carpet roll,240,190,75,255,284
cart,75,240,190,255,285
case,190,75,240,255,286
cases,225,140,175,255,287
cash register,175,225,140,255,288
casket,140,175,225,255,289
cassette,235,95,120,255,290
cat,120,235,95,255,291
cat bed,95,120,235,255,292
cat food,215,125,145,255,293
cat food bag,145,215,125,255,294
cat litter box,125,145,215,255,295
cat toilet,245,145,115,255,296
cat tree,115,245,145,255,297
cd,145,115,245,255,298
cd player,220,185,140,255,299
ceiling,140,220,185,255,300
ceiling arch,185,140,220,255,301
ceiling bedroom,230,110,175,255,302
ceiling boarder,175,230,110,255,303
ceiling border,110,175,230,255,304
ceiling chassis,240,100,195,255,305
ceiling corridor,195,240,100,255,306
ceiling decorative lamp,100,195,240,255,307
ceiling dome,225,160,85,255,308
ceiling door,85,225,160,255,309
ceiling duct,160,85,225,255,310
ceiling fan,235,130,155,255,311
ceiling fan lamp,155,235,130,255,312
ceiling fan vent,130,155,235,255,313
ceiling fire detector,215,170,115,255,314
ceiling fixture,115,215,170,255,315
ceiling floor,170,115,215,255,316
ceiling hanger,245,165,80,255,317
ceiling ladder,80,245,165,255,318
ceiling lamp,165,80,245,255,319
ceiling lamp hanger,220,75,150,255,320
ceiling lamp rail,150,220,75,255,321
ceiling light,75,150,220,255,322
ceiling light fixture connection,230,145,195,255,323
ceiling lower,195,230,145,255,324
ceiling molding,145,195,230,255,325
ceiling panel,240,120,160,255,326
ceiling pipe,160,240,120,255,327
ceiling support,120,160,240,255,328
ceiling under staircase,225,195,100,255,329
ceiling under stairs,100,225,195,255,330
ceiling vent,195,100,225,255,331
ceiling wall,235,160,70,255,332
ceiling window,70,235,160,255,333
ceiling/west wall,160,70,235,255,334
central heating furnace,215,100,130,255,335
ceramics,130,215,100,255,336
chain,100,130,215,255,337
chair,245,175,105,255,338
chair /w clutter,105,245,175,255,339
chair stand,175,105,245,255,340
chaise,220,135,175,255,341
chaise longue,175,220,135,255,342
chamber pot,135,175,220,255,343
chandelier,230,165,120,255,344
charger,120,230,165,255,345
chassis,165,120,230,255,346
chess,240,145,190,255,347
chest,190,240,145,255,348
chest bench,145,190,240,255,349
chest drawer,225,80,140,255,350
chest of drawer,140,225,80,255,351
chest of drawers,80,140,225,255,352
chimney,235,110,165,255,353
christmas tree,165,235,110,255,354
circular sofa,110,165,235,255,355
clarinet,215,180,100,255,356
cleaner,100,215,180,255,357
cleaner bottle,180,100,215,255,358
cleaner brush,245,90,170,255,359
cleaning clutter,170,245,90,255,360
cleaning fluid,90,170,245,255,361
cleaning liquid,220,155,125,255,362
cleaning paper,125,220,155,255,363
cleaning sponge,155,125,220,255,364
cleaning spray,230,140,75,255,365
clock,75,230,140,255,366
closet,140,75,230,255,367
closet area for hanging clothes,240,170,110,255,368
closet door,110,240,170,255,369
closet floor,170,110,240,255,370
closet mirror wall,225,120,155,255,371
closet rod,155,225,120,255,372
closet shelf,120,155,225,255,373
closet shelving,235,185,90,255,374
closet storage area,90,235,185,255,375
cloth,185,90,235,255,376
cloth hanger,215,95,160,255,377
cloth hangers,160,215,95,255,378
cloth holder,95,160,215,255,379
clothes,245,130,145,255,380
clothes bag,145,245,130,255,381
clothes container,130,145,245,255,382
clothes dryer,220,165,145,255,383
clothes hamper,145,220,165,255,384
clothes hanger,165,145,220,255,385
clothes hanger rod,230,100,185,255,386
clothes on shelf,185,230,100,255,387
clothes rack,100,185,230,255,388
clothing stand,240,155,75,255,389
clutter,75,240,155,255,390
coach,155,75,240,255,391
coaster,225,145,110,255,392
coat,110,225,145,255,393
coat hanger,145,110,225,255,394
coat rack,235,120,140,255,395
coffee machine,140,235,120,255,396
coffee maker,120,140,235,255,397
coffee mug,215,160,180,255,398
coffee table,180,215,160,255,399
column,160,180,215,255,400
compound wall,245,105,155,255,401
compressor,155,245,105,255,402
computer,105,155,245,255,403
computer chair,220,125,95,255,404
computer desk,95,220,125,255,405
computer equipment,125,95,220,255,406
computer mouse,230,175,130,255,407
computer tower,130,230,175,255,408
condiment,175,130,230,255,409
cone,240,135,165,255,410
conference phone,165,240,135,255,411
console,135,165,240,255,412
console pad,225,160,145,255,413
console pad charger,145,225,160,255,414
container,160,145,225,255,415
containers,235,95,105,255,416
control,105,235,95,255,417
control panel,95,105,235,255,418
controller,215,145,115,255,419
cook book,115,215,145,255,420
cooker,145,115,215,255,421
cooker hood,245,160,130,255,422
cookies,130,245,160,255,423
copier,160,130,245,255,424
copier machine,220,100,160,255,425
cork board,160,220,100,255,426
cornice,100,160,220,255,427
cosmetic,230,155,75,255,428
cosmetics,75,230,155,255,429
couch,155,75,230,255,430
counter,240,125,105,255,431
counter desk,105,240,125,255,432
counter door,125,105,240,255,433
countertop,225,130,165,255,434
countertop /otherroom,165,225,130,255,435
countertop item,130,165,225,255,436
cover,235,170,120,255,437
cradle,120,235,170,255,438
crate,170,120,235,255,439
crayon,215,110,145,255,440
crib,145,215,110,255,441
cross,110,145,215,255,442
cross-trainer,245,140,155,255,443
crutches,155,245,140,255,444
cuddly toy,140,155,245,255,445
cup,220,145,110,255,446
cups,110,220,145,255,447
curb,145,110,220,255,448
curtain,230,85,160,255,449
curtain bar,160,230,85,255,450
curtain box,85,160,230,255,451
curtain hanger,240,100,125,255,452
curtain rail,125,240,100,255,453
curtain rod,100,125,240,255,454
curtain rod cover,225,175,140,255,455
curtain valence,140,225,175,255,456
cushion,175,140,225,255,457
cutlery,235,135,105,255,458
cutting board,105,235,135,255,459
cyp,135,105,235,255,460
dartboard,215,165,95,255,461
deck chair,95,215,165,255,462
decoder,165,95,215,255,463
decor,245,175,145,255,464
decoration,145,245,175,255,465
decorative bottle,175,145,245,255,466
decorative bowl,220,120,140,255,467
decorative cloth,140,220,120,255,468
decorative dinnerware,120,140,220,255,469
decorative frame,230,110,125,255,470
decorative lamp,125,230,110,255,471
decorative lantern,110,125,230,255,472
decorative mask,240,165,95,255,473
decorative plant,95,240,165,255,474
decorative plate,165,95,240,255,475
decorative quilt,225,105,175,255,476
decorative tray,175,225,105,255,477
decorative vase,105,175,225,255,478
decorative vessel,235,145,165,255,479
decorative window,165,235,145,255,480
dehumidifier,145,165,235,255,481
den,215,125,155,255,482
desk,155,215,125,255,483
desk cabinet,125,155,215,255,484
desk chair,245,155,115,255,485
desk clutter,115,245,155,255,486
desk door,155,115,245,255,487
desk lamp,220,160,130,255,488
desk organizer,130,220,160,255,489
detergent,160,130,220,255,490
detergent bottle,230,165,100,255,491
device,100,230,165,255,492
dining chair,165,100,230,255,493
dining table,240,110,140,255,494
dinner chair,140,240,110,255,495
dinner table,110,140,240,255,496
dinnerware,225,145,120,255,497
diploma,120,225,145,255,498
dish,145,120,225,255,499
dish cabinet,235,155,130,255,500
dish dryer,130,235,155,255,501
dish rack,155,130,235,255,502
dishes,215,135,165,255,503
dishrag,165,215,135,255,504
dishwasher,135,165,215,255,505
dispenser,245,125,170,255,506
display,170,245,125,255,507
display cabinet,125,170,245,255,508
display of pictures,220,105,155,255,509
display table,155,220,105,255,510
document,105,155,220,255,511
document holder,230,125,95,255,512
dog bed,95,230,125,255,513
dog leash,125,95,230,255,514
dog toy,240,145,160,255,515
doily,160,240,145,255,516
doll,145,160,240,255,517
door,225,155,145,255,518
door /otherroom,145,225,155,255,519
door cabinet,155,145,225,255,520
door frame,235,100,140,255,521
door handle,140,235,100,255,522
door hinge,100,140,235,255,523
door knob,215,155,125,255,524
door screen,125,215,155,255,525
door stopper,155,125,215,255,526
door window,245,165,135,255,527
door/window,135,245,165,255,528
door/window frame,165,135,245,255,529
doormat,220,130,165,255,530
doorpost,165,220,130,255,531
doorstep,130,165,220,255,532
doorway,230,145,110,255,533
double armchair,110,230,145,255,534
drainpipe,145,110,230,255,535
draw,240,155,175,255,536
drawer,175,240,155,255,537
drawer cabinet,155,175,240,255,538
drawer cart,225,115,160,255,539
drawer desk,160,225,115,255,540
drawer sink table,115,160,225,255,541
drawers,235,165,145,255,542
drawers for clothes,145,235,165,255,543
drawing,165,145,235,255,544
dress,215,145,135,255,545
dresser,135,215,145,255,546
dressing table,145,135,215,255,547
dried flowers,245,135,120,255,548
drill,120,245,135,255,549
drinking fountain,135,120,245,255,550
drum,220,175,115,255,551
drywall board,115,220,175,255,552
duct,175,115,220,255,553
dumbbell,230,95,155,255,554
dustbin,155,230,95,255,555
dustpan,95,155,230,255,556
duvet,240,115,150,255,557
dvd,150,240,115,255,558
dvd player,115,150,240,255,559
easel,225,135,175,255,560
easy chair,175,225,135,255,561
electric box,135,175,225,255,562
electric cable,235,175,110,255,563
electric cord,110,235,175,255,564
electric device,175,110,235,255,565
electric drum,215,105,170,255,566
electric freshener,170,215,105,255,567
electric guitar,105,170,215,255,568
electric heater,245,145,160,255,569
electric hub,160,245,145,255,570
electric installation,145,160,245,255,571
electric kettle,220,155,100,255,572
electric outlet,100,220,155,255,573
electric percussion,155,100,220,255,574
electric plug,230,120,140,255,575
electric toothbrush,140,230,120,255,576
electric wire,120,140,230,255,577
electric wire casing,240,165,125,255,578
electrical box,125,240,165,255,579
electrical controller,165,125,240,255,580
electrical device,225,125,155,255,581
electrical installation,155,225,125,255,582
electrical switchboard,125,155,225,255,583
electricity box,235,135,150,255,584
electronics,150,235,135,255,585
elephant sculpture,135,150,235,255,586
elevator,215,175,140,255,587
elevator door,140,215,175,255,588
emergency sign,175,140,215,255,589
end table,245,100,165,255,590
entertainment set,165,245,100,255,591
entrance arch,100,165,245,255,592
exercise ball,220,140,125,255,593
exercise bike,125,220,140,255,594
exercise equipment,140,125,220,255,595
exercise ladder,230,160,105,255,596
exercise machine,105,230,160,255,597
exercise mat,160,105,230,255,598
exercise mat roll,240,130,145,255,599
exercising blocks,145,240,130,255,600
exhaust pipe,130,145,240,255,601
exhibition panel,225,165,135,255,602
exhibition picture,135,225,165,255,603
exhibition table,165,135,225,255,604
exhibition window,235,110,160,255,605
exhibition window frame,160,235,110,255,606
exit sign,110,160,235,255,607
extension cord,215,130,150,255,608
extension lead,150,215,130,255,609
extractor hood,130,150,215,255,610
eyeglasses,245,155,130,255,611
fan,130,245,155,255,612
fan air vent,155,130,245,255,613
faucet,220,115,160,255,614
fence,160,220,115,255,615
figure,115,160,220,255,616
figurine,230,135,165,255,617
file,165,230,135,255,618
file binder,135,165,230,255,619
file cabinet,240,140,105,255,620
fire alarm,105,240,140,255,621
fire detector,140,105,240,255,622
fire extinguisher,225,150,130,255,623
fire pit,130,225,150,255,624
fire screen,150,130,225,255,625
fire sprinkler,235,145,175,255,626
firebox,175,235,145,255,627
fireplace,145,175,235,255,628
fireplace brush,215,160,105,255,629
fireplace floor,105,215,160,255,630
fireplace mirror,160,105,215,255,631
fireplace sconce,245,120,155,255,632
fireplace shelf,155,245,120,255,633
fireplace tool set,120,155,245,255,634
fireplace utensil,220,145,140,255,635
fireplace wall,140,220,145,255,636
firewood,145,140,220,255,637
firewood chest,230,175,120,255,638
firewood holder,120,230,175,255,639
fish tank,175,120,230,255,640
fishing pole,240,100,160,255,641
fishing rod,160,240,100,255,642
fitness ball,100,160,240,255,643
flag,225,160,110,255,644
flashlight,110,225,160,255,645
flatware,160,110,225,255,646
floor,235,125,135,255,647
floor /otherroom,135,235,125,255,648
floor /outside,125,135,235,255,649
floor lamp,215,145,160,255,650
floor mat,160,215,145,255,651
floor stand,145,160,215,255,652
floor vent,245,165,105,255,653
flower,105,245,165,255,654
flower stand,165,105,245,255,655
flower vase,220,105,130,255,656
flowerpot,130,220,105,255,657
fluorescent light,105,130,220,255,658
flush,230,150,145,255,659
flush button,145,230,150,255,660
flush push,150,145,230,255,661
foam,240,125,175,255,662
folded chair,175,240,125,255,663
folded table,125,175,240,255,664
folder,225,135,150,255,665
folding chair,150,225,135,255,666
folding stand,135,150,225,255,667
food,235,160,100,255,668
food processor,100,235,160,255,669
food stand,160,100,235,255,670
food tray,215,110,155,255,671
foosball game table,155,215,110,255,672
foosball table,110,155,215,255,673
foot spa,245,140,125,255,674
foot stand,125,245,140,255,675
football,140,125,245,255,676
footrest,220,160,150,255,677
footstool,150,220,160,255,678
fork,160,150,220,255,679
frame,230,105,135,255,680
framed text,135,230,105,255,681
freezer,105,135,230,255,682
fridge,240,145,135,255,683
fruit,135,240,145,255,684
fruit bowl,145,135,240,255,685
frying pan,225,145,165,255,686
fume cupboard,165,225,145,255,687
fur,145,165,225,255,688
fur carpet,235,130,155,255,689
furnace,155,235,130,255,690
furniture,130,155,235,255,691
fuse box,215,165,120,255,692
fuse panel,120,215,165,255,693
game,165,120,215,255,694
game board,245,110,140,255,695
gap,140,245,110,255,696
garage door,110,140,245,255,697
garage door frame,220,135,165,255,698
garage door motor,165,220,135,255,699
garage door opener,135,165,220,255,700
garage door opener bar,230,140,155,255,701
garage door opener motor,155,230,140,255,702
garage door opener railing,140,155,230,255,703
garage door railing,240,160,115,255,704
garage light,115,240,160,255,705
garden bench,160,115,240,255,706
garden chair,225,115,145,255,707
garden deck,145,225,115,255,708
gas box,115,145,225,255,709
gas container,235,150,120,255,710
gas furnace,120,235,150,255,711
gas meter,150,120,235,255,712
gate,215,135,175,255,713
gauge,175,215,135,255,714
gift,135,175,215,255,715
glass,245,125,145,255,716
glass container,145,245,125,255,717
glass door,125,145,245,255,718
glass pane,220,120,155,255,719
glasses,155,220,120,255,720
globe,120,155,220,255,721
globe stand,230,165,135,255,722
gloves,135,230,165,255,723
glue,165,135,230,255,724
golf sticks,240,135,165,255,725
grab bar,165,240,135,255,726
gramophone,135,165,240,255,727
grass,225,160,125,255,728
grate,125,225,160,255,729
gravel,160,125,225,255,730
grill,235,100,165,255,731
groceries,165,235,100,255,732
guitar,100,165,235,255,733
guitar case,215,150,130,255,734
guitar case cover,130,215,150,255,735
guitar cases,150,130,215,255,736
guitar frame,245,140,150,255,737
guitar pedals,150,245,140,255,738
guitar stand,140,150,245,255,739
guitar straps,220,155,115,255,740
gun,115,220,155,255,741
gutter,155,115,220,255,742
gym equipment,230,110,170,255,743
gym mat,170,230,110,255,744
gym rope,110,170,230,255,745
gym stepper,240,150,125,255,746
hair brush,125,240,150,255,747
hair dryer,150,125,240,255,748
hammer,225,140,160,255,749
hammock,160,225,140,255,750
hand cloth,140,160,225,255,751
hand dryer,235,165,105,255,752
hand soap,105,235,165,255,753
hand towel,165,105,235,255,754
handbag,215,120,140,255,755
handkerchiefs,140,215,120,255,756
handle,120,140,215,255,757
handrail,245,160,110,255,758
hanger,110,245,160,255,759
hanging clothes,160,110,245,255,760
hat,220,125,150,255,761
hatch,150,220,125,255,762
hats,125,150,220,255,763
headboard,230,145,120,255,764
headphones,120,230,145,255,765
headset,145,120,230,255,766
hearth,240,155,160,255,767
heater,160,240,155,255,768
heater piping,155,160,240,255,769
high shelf,225,125,140,255,770
highchair,140,225,125,255,771
holder,125,140,225,255,772
hole puncher,235,140,175,255,773
holy cross,175,235,140,255,774
hook,140,175,235,255,775
hose,215,160,115,255,776
hot water/cold water knob,115,215,160,255,777
hourglass,160,115,215,255,778
hoverboard,245,135,155,255,779
hunting trophy,155,245,135,255,780
hutch,135,155,245,255,781
ice maker,220,140,165,255,782
icebox,165,220,140,255,783
identifier,140,165,220,255,784
information,230,155,100,255,785
installation,100,230,155,255,786
iron,155,100,230,255,787
iron board,240,120,140,255,788
ironing board,140,240,120,255,789
island,120,140,240,255,790
jacket,225,155,135,255,791
jacuzzi,135,225,155,255,792
jar,155,135,225,255,793
jars,235,135,160,255,794
jewelry,160,235,135,255,795
jewelry box,135,160,235,255,796
jug,215,145,150,255,797
junk,150,215,145,255,798
keg,145,150,215,255,799
kettle,245,150,120,255,800
keyboard,120,245,150,255,801
keyboard box,150,120,245,255,802
keyboard cover,220,150,135,255,803
keyboard piano,135,220,150,255,804
keyboard stand,150,135,220,255,805
keys,230,125,155,255,806
kitchen appliance,155,230,125,255,807
kitchen cabinet,125,155,230,255,808
kitchen cabinet door,240,165,100,255,809
kitchen cabinet drawer,100,240,165,255,810
kitchen cabinet lower,165,100,240,255,811
kitchen chair,225,120,160,255,812
kitchen counter,160,225,120,255,813
kitchen counter support,120,160,225,255,814
kitchen countertop item,235,155,145,255,815
kitchen countertop items,145,235,155,255,816
kitchen decoration,155,145,235,255,817
kitchen extractor,215,130,160,255,818
kitchen handle,160,215,130,255,819
kitchen island,130,160,215,255,820
kitchen knife set,245,145,135,255,821
kitchen lower cabinet,135,245,145,255,822
kitchen lower shelf,145,135,245,255,823
kitchen seating,220,165,125,255,824
kitchen shelf,125,220,165,255,825
kitchen sink,165,125,220,255,826
kitchen sink cabinet,230,130,145,255,827
kitchen table,145,230,130,255,828
kitchen top,130,145,230,255,829
kitchen towel,240,135,150,255,830
kitchen utensil,150,240,135,255,831
kitchen utensils,135,150,240,255,832
kitchen wall,225,145,105,255,833
kitchenware,105,225,145,255,834
knife,145,105,225,255,835
knife holder,235,120,170,255,836
knife set,170,235,120,255,837
knife stand,120,170,235,255,838
knob,215,155,135,255,839
l-shaped sofa,135,215,155,255,840
lace doily,155,135,215,255,841
ladder,245,125,160,255,842
lamp,160,245,125,255,843
lamp shade,125,160,245,255,844
lamp stand,220,110,140,255,845
lamp table,140,220,110,255,846
lampshade,110,140,220,255,847
landing,230,160,125,255,848
lantern,125,230,160,255,849
laptop,160,125,230,255,850
laundry,240,145,120,255,851
laundry bag,120,240,145,255,852
laundry basket,145,120,240,255,853
laundry machine,225,135,165,255,854
lawn,165,225,135,255,855
leaflets,135,165,225,255,856
led tv,235,165,130,255,857
ledge,130,235,165,255,858
leg rest,165,130,235,255,859
level,215,100,150,255,860
lid,150,215,100,255,861
light,100,150,215,255,862
light fixture,245,160,140,255,863
light switch,140,245,160,255,864
lighter,160,140,245,255,865
lighting fixture,220,130,155,255,866
liquid cleaner,155,220,130,255,867
liquid container,130,155,220,255,868
liquid soap,230,150,110,255,869
locker,110,230,150,255,870
lounge chair,150,110,230,255,871
lounger,240,110,165,255,872
luggage,165,240,110,255,873
machine,110,165,240,255,874
magazine,225,160,145,255,875
magazine rack,145,225,160,255,876
magazines,160,145,225,255,877
magic marker,235,145,135,255,878
magic marker box,135,235,145,255,879
mail,145,135,235,255,880
mailbox,215,165,145,255,881
makeup accessories,145,215,165,255,882
mannequin,165,145,215,255,883
mantel,245,130,150,255,884
mantle,150,245,130,255,885
map,130,150,245,255,886
mascot,220,145,125,255,887
mascots,125,220,145,255,888
massage bed,145,125,220,255,889
mat,230,140,165,255,890
material,165,230,140,255,891
measuring tape,140,165,230,255,892
medal,240,160,130,255,893
medal collection,130,240,160,255,894
media console,160,130,240,255,895
medical lamp,225,115,150,255,896
medical object,150,225,115,255,897
menu,115,150,225,255,898
menu board,235,155,160,255,899
meshwork,160,235,155,255,900
meter,155,160,235,255,901
microphone,215,140,120,255,902
microphone accessory,120,215,140,255,903
microwave,140,120,215,255,904
mini fridge,245,155,145,255,905
mirror,145,245,155,255,906
mirror /otherroom,155,145,245,255,907
mirror frame,220,160,140,255,908
mixer,140,220,160,255,909
mobile,160,140,220,255,910
model,230,125,140,255,911
modem,140,230,125,255,912
molding,125,140,230,255,913
monitor,240,125,155,255,914
moose head/sculpture/hunting trophy,155,240,125,255,915
mop,125,155,240,255,916
